year,Afghanistan,Armenia,Australia,Azerbaijan,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Cook Islands,DPR Korea,Fiji,French Polynesia,Georgia,"Hong Kong, China",India,Indonesia,Iran (Islamic Rep. of),Japan,Kazakhstan,Kiribati,Kyrgyzstan,Lao PDR,"Macao, China",Malaysia,Maldives,Marshall Islands,Micronesia (F.S.),Mongolia,Myanmar,Nauru,Nepal,New Caledonia,New Zealand,Pakistan,Palau,Papua New Guinea,Philippines,Republic of Korea,Russian Federation,Samoa,Singapore,Solomon Islands,Sri Lanka,Tajikistan,Thailand,Timor-Leste,Tonga,Turkey,Turkmenistan,Tuvalu,Uzbekistan,Vanuatu,Viet Nam
1990,-3.12,null,-0.35,null,6.63,11.37,1.09,1.16,3.84,7.93,-4.3,8.35,2.29,null,3.83,5.66,9,11.24,5.57,null,2.13,null,6.7,7.98,9.01,16.25,2.68,4.03,-2.52,2.82,-2.82,4.64,3.6,0.28,4.46,5.44,-3,3.04,9.3,null,-4.42,10.11,6.72,6.24,null,11.14,null,-2.04,9.26,null,15.38,null,4.78,5.1
1991,-10.93,-11.68,0.44,-0.7,3.4,0.74,3.15,7.59,9.18,7.13,-4.42,-2.67,5.77,-21.33,5.7,0.42,8.93,10.63,3.32,-10.95,6.29,-7.94,4.3,3.66,9.55,7.65,0.09,5.92,-9.25,-0.65,-18.99,6.37,4.9,-1.12,5.06,3.87,9.53,-0.58,9.71,-5,-2.3,6.49,2.55,4.82,-7.1,8.42,10.71,2.39,0.93,-4.61,3.61,-0.49,12.13,5.96
1992,1.61,-41.76,4.11,-22.6,4.23,3.67,4.76,7.03,14.24,5.97,-7.08,3.91,0.43,-44.5,6.23,5.42,7.22,6.1,0.82,-5.32,0.19,-13.84,5.56,13.3,8.89,6.26,7.14,4.04,-9.5,9.66,-16.26,4.11,0.52,0.92,7.71,1.92,13.85,0.34,5.77,-14.5,-0.2,7.03,11.36,4.38,-29,9.25,10.46,3.18,5.98,-14.97,2.79,-11.2,-0.73,8.65
1993,-24.96,-8.81,4.05,-23.1,4.57,2.01,0.3,4.09,13.96,3.89,-4.48,1.73,0.59,-29.29,6.2,4.95,7.25,-2.09,0.17,-9.24,0.58,-15.46,5.91,5.19,9.89,6.16,6.01,6.79,-3,6.04,-16.12,3.85,0.53,6.2,1.76,-12.3,18.2,2.12,6.33,-8.7,4.1,11.48,1.69,6.92,-16.4,8.69,10.2,-0.45,8.04,1.5,4.11,-2.29,4.5,8.07
1994,-22.26,5.33,3.99,-19.65,4.08,5.88,3.15,7.68,13.08,3.92,-2.11,-2.54,0.09,-10.38,6.04,7.46,7.54,1.73,0.86,-12.57,1.31,-20.09,8.16,4.25,9.21,6.64,5.88,1.28,2.3,7.48,-3.87,8.22,2.59,4.91,3.74,7.3,5.94,4.39,8.77,-12.7,-2.54,10.58,8.08,5.65,-21.3,8.01,9.92,4.95,-5.46,-17.3,10.28,-5.2,2.54,8.84
1995,49.93,6.89,3.99,-11.82,4.92,6.78,4.48,5.92,10.92,-4.38,-4.37,2.61,0.5,2.58,2.37,7.65,8.22,2.91,1.94,-8.24,-0.64,-5.42,7.03,3.3,9.83,7.09,8.21,4.6,6.31,6.95,-7.92,3.47,5.94,4.2,4.96,10.9,-3.31,4.68,8.93,-4.1,6.56,7.28,9.99,5.53,-12.4,8.14,9.47,4.04,7.19,-7.2,-5,-0.9,4.68,9.54
1996,-5.27,5.9,3.9,1.25,4.62,6.41,2.88,4.6,10.01,-0.27,-3.35,4.8,0.85,11.29,4.26,7.39,7.82,6.16,2.61,0.46,3.01,7.08,6.93,-0.42,10,8.82,-10.3,-3.1,2.35,6.44,-11.86,5.34,0.45,3.35,4.85,10.4,6.6,5.85,7.19,-3.61,7.27,7.63,1.61,3.76,-16.76,5.66,10.8,-0.04,7.01,6.7,-5.96,1.7,2.56,9.34
1997,-5.14,3.32,4.52,5.81,5.39,5.87,-1.48,5.62,9.3,-2.35,-6.48,4.78,1.72,10.52,5.1,4.48,4.7,3.97,1.6,1.73,2.36,9.92,6.87,-0.28,7.32,11.52,-5.29,-5.95,4,5.65,-11.31,5.26,2.01,2.94,1.01,2.3,-6.34,5.19,5.77,1.38,0.8,8.51,-1.73,6.45,1.69,-2.76,4.13,-0.8,7.53,-11.4,5.62,5.2,2.37,8.15
1998,-4.54,7.34,4.95,9.96,5.23,6.13,-0.56,5.01,7.83,-0.77,-0.9,-2.38,3.48,3.1,-5.88,5.99,-13.13,3.2,-2,-1.89,7.26,2.12,3.97,-4.57,-7.36,9.31,-3.57,2.72,3.53,5.87,-9.44,2.94,-3.2,1.4,2.55,2,4.68,-0.58,-5.71,-5.34,2.39,-2.17,3.19,4.75,5.29,-7.65,-2.13,2.99,3.09,7.1,19.73,4.4,2.13,5.76
1999,-4.85,3.26,3.85,7.4,4.87,7.94,3.05,11.91,7.62,2.68,6.08,1.29,3.78,2.87,2.51,7.13,0.79,3.99,-0.2,2.69,-2.76,3.66,7.31,-2.36,6.14,7.78,-2.85,1.63,3.22,10.95,-6.57,4.48,4.42,5.22,3.66,-5.4,1.86,3.08,10.73,6.35,3.13,6.2,-1.55,4.27,3.7,4.58,-35.45,4.28,-3.37,16.5,-0.53,4.4,0.34,4.77
2000,-5.5,5.9,1.9,11.09,5.94,8.74,2.85,8.77,8.43,13.87,0.41,8.71,5.11,1.84,7.66,4.03,4.92,3.3,2.26,9.85,5.3,5.44,5.8,5.75,8.86,4.38,5.15,4.48,1.06,13.75,-6.86,6.12,2.5,2.4,4.26,0.3,-2.45,4.41,8.8,10.05,7.09,9.04,-14.21,5.98,8.3,4.52,13.66,3.14,6.77,5.47,13.34,4,5.92,6.79
2001,-5.68,9.56,3.91,9.9,5.27,8.2,2.75,8.15,8.3,4.09,3.76,-1.73,1.41,4.81,0.56,5.22,3.64,2.71,0.36,13.55,0.7,5.33,5.75,2.89,0.52,3.27,3.69,1.65,2.95,11.34,-6.76,5.63,2.3,3.73,1.98,1.3,-0.04,2.89,3.97,5.09,8.05,-1.15,-7.97,-1.37,9.54,3.39,6.38,3.16,-5.7,4.34,5.95,4.5,-3.49,6.89
2002,65,15.05,3.15,9.43,4.42,10.73,3.88,6.58,9.08,3.24,1.2,1.87,2.12,5.47,1.66,3.77,4.5,7.93,0.29,9.75,0.58,-0.02,5.92,8.9,5.39,5.56,4.03,0.5,4.73,12.03,-9.97,0.12,2.46,5,3.22,4.86,2.01,3.65,7.15,4.74,3.17,4.2,-2.76,4.02,10.81,6.19,-7.06,3.58,6.16,0.26,1.2,4.2,-4.4,7.08
2003,8.23,14.04,4.15,10.21,5.26,7.66,2.9,8.51,10.03,4.31,1.82,3.19,3.45,11.06,3.06,8.37,4.78,7.89,1.69,9.33,4.03,7.03,6.21,12.58,5.79,15.83,3.17,1.75,7,13.84,0.28,3.95,4.85,4.06,4.85,1.63,4.39,4.97,2.8,7.3,5.73,4.58,6.48,5.94,11.12,7.18,-0.03,2.11,5.27,3.27,-3.26,4.4,3.74,7.34
2004,2.34,10.47,3.19,9.25,6.27,5.9,0.51,10.34,10.09,2.2,2.08,0.84,2.2,5.86,8.7,8.3,5.03,5.09,2.36,9.59,3.17,7.03,7.02,26.88,6.78,12.47,6.73,-3.3,10.63,13.56,-4.31,4.68,3.9,3.66,7.37,2.85,0.57,6.7,4.62,7.18,4.34,9.16,8.1,5.45,10.29,6.32,134.29,0.76,9.36,5,-1.51,7.7,4.49,7.79
2005,9.9,13.87,3.04,27.96,5.96,7.12,0.39,13.25,11.31,-1.14,3.76,5.42,1.4,9.59,7.39,9.28,5.69,5.25,1.3,9.7,-0.17,-0.18,6.77,8.56,5.33,-9.08,2.03,2.13,7.25,13.57,-12.07,3.12,3.6,3.37,7.67,6.18,3.93,4.78,3.96,6.38,5.11,7.37,12.85,6.24,6.72,4.18,53.28,1.55,8.4,13.04,-3.89,7,5.25,12.05
2006,9.16,13.2,3.79,34.47,6.63,6.85,4.4,10.77,12.68,5,-1.03,1.85,0.89,9.38,7.03,9.26,5.5,6.1,1.69,10.58,-4.49,3.1,8.64,14.42,5.58,22.23,0.88,-0.16,8.56,13.08,-19.77,3.72,5.7,1.65,6.18,2.52,2.29,5.24,5.18,8.15,0.49,8.62,4,7.67,6.59,4.94,60.16,-1.09,6.89,10.97,3.34,7.3,7.36,6.98
2007,16.09,13.75,3.77,25.46,7.05,17.93,0.15,10.21,14.16,-0.2,-1.19,-0.9,1.7,12.34,6.46,9.8,6.35,8.27,2.19,8.69,7.51,8.54,7.84,14.33,6.3,12.63,1.31,-2.05,10.25,11.99,0.36,3.41,4.24,3.52,4.83,-2.96,7.15,6.62,5.11,8.54,6.14,9.02,6.37,6.8,7.76,5.45,-0.61,-4.55,4.67,11,4.93,9.5,6.51,7.13
2008,2.33,6.95,1.65,10.59,6.19,4.77,-1.94,6.69,9.63,-3.51,3.1,1,2.5,2.31,2.13,3.89,6.01,1.72,-1.04,3.29,2.76,8.4,7.78,3.39,4.83,10.76,1.45,-2.55,8.9,10.26,95.58,6.1,0.77,-1.76,1.7,-1.93,6.61,4.15,2.3,5.25,-3.74,1.75,7.12,5.95,7.58,1.67,12.1,1.9,0.66,14.7,11.59,9,6.17,5.66
2009,17.22,-14.15,2.09,9.37,5.74,6.66,-1.77,0.09,9.21,1.04,-0.91,-1.3,2.21,-3.78,-2.46,8.48,4.63,4.02,-5.53,1.21,-0.66,2.89,7.5,1.71,-1.51,-5.56,-1.48,0.94,-1.27,10.55,-18.16,4.53,2.32,1.5,2.83,-5.75,6.14,1.15,0.32,-7.82,-1.41,-0.79,-4.74,3.54,4.02,-0.91,-6.72,3.24,-4.83,6.1,-2.34,8.1,3.45,5.4
2010,3.24,2.22,2.43,4.62,5.82,11.73,2.6,5.96,10.45,-2.91,-0.47,-0.2,2.19,6.25,6.79,10.55,6.22,5.76,4.65,7.01,-0.5,-0.47,8.13,27.5,7.42,6.88,5.59,2.55,6.37,10.16,20.1,4.82,3.65,0.17,1.61,-3.39,7.57,7.63,6.32,4.5,2.09,14.78,7,8.02,6.54,7.33,-1.39,3.33,9.16,9.2,-1.4,8.5,1.64,6.42
2011,9.49,4.65,3.41,-1.61,6.85,8.55,3.43,7.07,9.29,0.95,0.8,2,2.19,7.17,4.85,6.33,6.49,3.03,-0.58,7.5,3.27,5.96,8.04,21.82,5.13,8.49,0.81,2.03,17.51,5.98,14.23,3.42,3.34,2.29,2.79,1.7,11.26,3.64,3.68,4.29,1.19,5.16,10.7,8.25,2.41,0.34,7.34,2.88,8.77,14.1,-0.57,8.3,1.42,6.24
2012,5.22,7.15,2.85,2.1,6.48,4.62,0.95,7.26,7.7,3,0.27,1.5,2.35,6.11,1.5,3.24,6.23,-1.88,1.95,5.02,3,-0.9,7.93,9.95,5.64,13.46,1.9,1.44,12.28,6.3,20.24,4.85,2.86,2.93,4.02,-2.47,9.17,6.81,2.04,3.44,0.79,1.32,4.8,6.41,7.5,6.43,10,0.85,2.17,7.97,2.6,7.36,2,5.25
